date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:34	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1676325698-ssl-df	https://touchitrikka.netlify.app/robots.txt		(from )
14:59:34	6904/6904	---MCZ	200	added ('OK')	text/html	etag:%22ff6466d5d1a82ca564ffe402bca64967-ssl-df%22	https://touchitrikka.netlify.app/	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(4)/d/touchitrikka.netlify.app/index.html	(from )
14:59:34	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1676325698-ssl-df	https://touchitrikka.netlify.app/favicon.ico	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(4)/d/touchitrikka.netlify.app/favicon.0.delayed	(from https://touchitrikka.netlify.app/)
14:59:35	397765/397765	---MCZ	200	added ('OK')	text/css	etag:W/%22646b78f6-611c5%22	https://me-qr.com/assets/css/material-kit.min.css?v=1	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(4)/d/me-qr.com/assets/css/material-kit.min3860.css	(from https://touchitrikka.netlify.app/)
14:59:36	144/144	---MCZ	200	added ('OK')	text/css	etag:W/%22646b779e-700%22	https://me-qr.com/assets/css/base-style.css	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(4)/d/me-qr.com/assets/css/base-style.css	(from https://touchitrikka.netlify.app/)
14:59:36	81232/81232	---M--	200	added ('OK')	image/png	etag:%226910100b4a661b6a4460d7a8539e1fd6%22	https://i.imgur.com/KSDWjrp.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(4)/d/i.imgur.com/KSDWjrp.png	(from https://touchitrikka.netlify.app/)
14:59:37	13922/13922	---M--	200	added ('OK')	image/png	etag:%2263cbb3b8-3662%22	https://cdn.me-qr.com/ListofLinks/48442.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(4)/d/cdn.me-qr.com/ListofLinks/48442.png	(from https://touchitrikka.netlify.app/)
14:59:37	6355/6355	---M--	200	added ('OK')	image/png	etag:%2263cbb3b8-18d3%22	https://cdn.me-qr.com/ListofLinks/48444.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(4)/d/cdn.me-qr.com/ListofLinks/48444.png	(from https://touchitrikka.netlify.app/)
14:59:37	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1676325698-ssl-df	https://touchitrikka.netlify.app/assets/js/lazy.js?v=2	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(4)/d/touchitrikka.netlify.app/assets/js/lazy.65e1f.delayed	(from https://touchitrikka.netlify.app/)
14:59:38	538/538	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jul%202023%2013:59:37%20GMT	https://me-qr.com/img/arrow-left.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(4)/d/me-qr.com/img/arrow-left.png	(from https://me-qr.com/assets/css/material-kit.min.css?v=1)
14:59:38	535/535	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jul%202023%2013:59:37%20GMT	https://me-qr.com/img/arrow-right.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(4)/d/me-qr.com/img/arrow-right.png	(from https://me-qr.com/assets/css/material-kit.min.css?v=1)
